Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Andromedae,00h 08m 23.17s,+29° 05′ 27.0″,2.07,Andromeda
Beta Andromedae,01h 09m 43.80s,+35° 37′ 15.0″,2.07,Andromeda
Gamma Andromedae,02h 03m 53.92s,+42° 19′ 47.5″,2.1,Andromeda
Delta Andromedae,00h 39m 19.60s,+30° 51′ 40.4″,3.27,Andromeda
Andromeda Galaxy,00h 42m 44.31s,+41° 16′ 09.4″,3.44,Andromeda
51 Andromedae,01h 37m 59.50s,+48° 37′ 42.6″,3.59,Andromeda
Omicron Andromedae,23h 01m 55.25s,+42° 19′ 33.5″,3.62,Andromeda
Lambda Andromedae,23h 37m 33.71s,+46° 27′ 33.0″,3.81,Andromeda
Mu Andromedae,00h 56m 45.10s,+38° 29′ 57.3″,3.86,Andromeda
Zeta Andromedae,00h 47m 20.39s,+24° 16′ 02.6″,4.08,Andromeda
Upsilon Andromedae,01h 36m 47.98s,+41° 24′ 23.0″,4.1,Andromeda
Kappa Andromedae,23h 40m 24.44s,+44° 20′ 02.3″,4.15,Andromeda
Phi Andromedae,01h 09m 30.12s,+47° 14′ 30.6″,4.26,Andromeda
Iota Andromedae,23h 38m 08.18s,+43° 16′ 05.1″,4.29,Andromeda
Pi Andromedae,00h 36m 52.84s,+33° 43′ 09.7″,4.34,Andromeda
Epsilon Andromedae,00h 38m 33.50s,+29° 18′ 44.5″,4.34,Andromeda
Eta Andromedae,00h 57m 12.43s,+23° 25′ 03.9″,4.4,Andromeda
Sigma Andromedae,00h 18m 19.71s,+36° 47′ 07.2″,4.51,Andromeda
Nu Andromedae,00h 49m 48.83s,+41° 04′ 44.2″,4.53,Andromeda
7 Andromedae,23h 12m 32.92s,+49° 24′ 21.5″,4.53,Andromeda
Theta Andromedae,00h 17m 05.54s,+38° 40′ 54.0″,4.61,Andromeda
3 Andromedae,23h 04m 10.83s,+50° 03′ 06.1″,4.64,Andromeda
65 Andromedae,02h 25m 37.40s,+50° 16′ 43.2″,4.73,Andromeda
58 Andromedae,02h 08m 29.15s,+37° 51′ 33.1″,4.78,Andromeda
8 Andromedae,23h 17m 44.62s,+49° 00′ 55.0″,4.82,Andromeda
Omega Andromedae,01h 27m 39.09s,+45° 24′ 25.0″,4.83,Andromeda
Gamma Andromedae,02h 03m 54.70s,+42° 19′ 51.0″,4.84,Andromeda
60 Andromedae,02h 13m 13.34s,+44° 13′ 54.1″,4.84,Andromeda
Xi Andromedae,01h 22m 20.39s,+45° 31′ 43.5″,4.87,Andromeda
Tau Andromedae,01h 40m 34.80s,+40° 34′ 37.6″,4.96,Andromeda
HD 10307,01h 41m 46.52s,+42° 36′ 49.7″,4.96,Andromeda
Psi Andromedae,23h 46m 02.04s,+46° 25′ 13.0″,4.97,Andromeda
22 Andromedae,00h 10m 19.24s,+46° 04′ 20.2″,5.01,Andromeda
Chi Andromedae,01h 39m 21.02s,+44° 23′ 10.1″,5.01,Andromeda
41 Andromedae,01h 08m 00.72s,+43° 56′ 32.1″,5.04,Andromeda
2 Andromedae,23h 02m 36.34s,+42° 45′ 28.1″,5.09,Andromeda
V428 Andromedae,00h 36m 46.47s,+44° 29′ 18.6″,5.14,Andromeda
Rho Andromedae,00h 21m 07.23s,+37° 58′ 07.3″,5.16,Andromeda
64 Andromedae,02h 24m 24.89s,+50° 00′ 23.9″,5.19,Andromeda
28 Andromedae,00h 30m 07.34s,+29° 45′ 06.1″,5.2,Andromeda
14 Andromedae,23h 31m 17.20s,+39° 14′ 11.0″,5.22,Andromeda
49 Andromedae,01h 30m 06.10s,+47° 00′ 26.6″,5.27,Andromeda
32 Andromedae,00h 41m 07.20s,+39° 27′ 31.2″,5.3,Andromeda
4 Andromedae,23h 07m 39.28s,+46° 23′ 14.3″,5.3,Andromeda
6 Persei,02h 13m 36.02s,+51° 03′ 58.4″,5.31,Andromeda
62 Andromedae,02h 19m 16.85s,+47° 22′ 48.0″,5.31,Andromeda
18 Andromedae,23h 39m 08.35s,+50° 28′ 18.3″,5.35,Andromeda
55 Andromedae,01h 53m 17.35s,+40° 43′ 47.3″,5.42,Andromeda
11 Andromedae,23h 19m 29.79s,+48° 37′ 30.7″,5.44,Andromeda
36 Andromedae,00h 54m 58.02s,+23° 37′ 42.4″,5.46,Andromeda
15 Andromedae,23h 34m 37.55s,+40° 14′ 11.6″,5.55,Andromeda
63 Andromedae,02h 20m 58.17s,+50° 09′ 05.5″,5.57,Andromeda
47 Andromedae,01h 23m 40.56s,+37° 42′ 54.0″,5.6,Andromeda
44 Andromedae,01h 10m 18.85s,+42° 04′ 53.7″,5.67,Andromeda
5 Andromedae,23h 07m 45.25s,+49° 17′ 43.6″,5.68,Andromeda
HD 5788,01h 00m 03.55s,+44° 42′ 47.9″,5.69,Andromeda
56 Andromedae,01h 56m 09.23s,+37° 15′ 06.5″,5.69,Andromeda
23 Andromedae,00h 13m 30.94s,+41° 02′ 08.6″,5.71,Andromeda
13 Andromedae,23h 27m 07.33s,+42° 54′ 43.1″,5.75,Andromeda
12 Andromedae,23h 20m 53.17s,+38° 10′ 56.9″,5.77,Andromeda
45 Andromedae,01h 11m 10.29s,+37° 43′ 26.9″,5.8,Andromeda
10 Andromedae,23h 19m 52.38s,+42° 04′ 40.9″,5.81,Andromeda
HD 222109,23h 37m 32.03s,+44° 25′ 44.5″,5.81,Andromeda
HD 224635,23h 59m 29.33s,+33° 43′ 26.9″,5.81,Andromeda
OU Andromedae,23h 49m 40.96s,+36° 25′ 31.4″,5.86,Andromeda
HD 2767,00h 31m 25.61s,+33° 34′ 54.1″,5.88,Andromeda
HD 1606,00h 20m 24.39s,+30° 56′ 08.2″,5.89,Andromeda
KK Andromedae,01h 34m 16.60s,+37° 14′ 13.9″,5.9,Andromeda
6 Andromedae,23h 10m 27.36s,+43° 32′ 41.1″,5.91,Andromeda
39 Andromedae,01h 02m 54.28s,+41° 20′ 42.7″,5.95,Andromeda
9 Andromedae,23h 18m 23.33s,+41° 46′ 25.3″,5.98,Andromeda
HD 5608,00h 58m 14.19s,+33° 57′ 03.8″,5.99,Andromeda
HD 3883,00h 41m 35.98s,+24° 37′ 44.6″,6.06,Andromeda
HD 166,00h 06m 36.53s,+29° 01′ 19.0″,6.07,Andromeda
HD 223229,23h 47m 33.05s,+46° 49′ 57.3″,6.08,Andromeda
59 Andromedae,02h 10m 52.83s,+39° 02′ 22.5″,6.09,Andromeda
26 Andromedae,00h 18m 42.15s,+43° 47′ 28.1″,6.1,Andromeda
HD 225218,00h 04m 36.60s,+42° 05′ 33.2″,6.11,Andromeda
HD 1185,00h 16m 21.50s,+43° 35′ 42.4″,6.12,Andromeda
GO Andromedae,00h 50m 18.21s,+45° 00′ 08.1″,6.13,Andromeda
66 Andromedae,02h 27m 51.75s,+50° 34′ 12.7″,6.16,Andromeda
HD 221776,23h 34m 46.73s,+38° 01′ 26.3″,6.18,Andromeda
HD 221246,23h 30m 07.39s,+49° 07′ 59.3″,6.19,Andromeda
OP Andromedae,01h 36m 27.21s,+48° 43′ 22.2″,6.2,Andromeda
HD 895,00h 13m 23.93s,+26° 59′ 15.4″,6.24,Andromeda
HD 220105,23h 20m 44.11s,+44° 06′ 58.5″,6.25,Andromeda
HD 2942,00h 32m 49.09s,+28° 16′ 48.8″,6.26,Andromeda
HD 8673,01h 26m 08.62s,+34° 34′ 47.7″,6.34,Andromeda
CG Andromedae,00h 00m 43.62s,+45° 15′ 12.0″,6.36,Andromeda
LN Andromedae,23h 02m 45.15s,+44° 03′ 31.6″,6.37,Andromeda
V385 Andromedae,23h 24m 08.88s,+41° 36′ 46.3″,6.37,Andromeda
GY Andromedae,01h 38m 31.84s,+45° 23′ 58.9″,6.38,Andromeda
V529 Andromedae,01h 27m 26.67s,+41° 06′ 04.0″,6.42,Andromeda
HD 222641,23h 42m 14.68s,+44° 59′ 30.3″,6.43,Andromeda
HD 6114,01h 03m 01.47s,+47° 22′ 34.3″,6.46,Andromeda
ET Andromedae,23h 17m 55.99s,+45° 29′ 20.2″,6.48,Andromeda
HD 222399,23h 40m 02.82s,+37° 39′ 10.2″,6.49,Andromeda
PY Andromedae,00h 36m 20.00s,+27° 15′ 17″,6.5,Andromeda
59 Andromedae,02h 10m 53.67s,+39° 02′ 36.0″,6.82,Andromeda
HD 222155,23h 38m 00s,+48° 59′ 47″,7.1,Andromeda
HD 16175,02h 37m 01.91s,+42° 03′ 45.5″,7.28,Andromeda
R Andromedae,00h 24m 01.95s,+38° 34′ 37.3″,7.39,Andromeda
HD 1605,00h 20m 32.0s,+30° 58′ 29″,7.52,Andromeda
HD 13931,02h 16m 47.38s,+43° 46′ 22.8″,7.52,Andromeda
HD 5583,00h 57m 57.0s,+34° 59′ 08″,7.6,Andromeda
RW Andromedae,00h 47m 18.92s,+32° 41′ 08.6″,7.9,Andromeda
Groombridge 34,00h 18m 22.9s,+44° 01′ 22″,8.01,Andromeda
HD 15082,02h 26m 51.06s,+37° 33′ 01.7″,8.3,Andromeda
Z Andromedae,23h 33m 39.95s,+48° 49′ 05.9″,10.53,Andromeda
HAT-P-6,23h 39m 05.81s,+42° 27′ 57.5″,10.54,Andromeda
HAT-P-16,00h 38m 17.56s,+42° 27′ 47.2″,10.8,Andromeda
HAT-P-32,02h 01m 10s,+46° 41′ 16″,11.29,Andromeda
WASP-1,00h 20m 40.08s,+31° 59′ 23.8″,11.79,Andromeda
Kepler-63,01h 17m 07.6s,+49° 32′ 54″,12.02,Andromeda
Ross 248,23h 41m 54.99s,+44° 10′ 40.8″,12.29,Andromeda
HAT-P-19,00h 38m 04s,+34° 42′ 42″,12.9,Andromeda
HAT-P-28,00h 52m 00s,+34° 43′ 42″,13.03,Andromeda
HAT-P-53,01h 27m 29.0s,+38° 58′ 05″,13.73,Andromeda
Alpha Antliae,10h 27m 09.16s,-31° 04′ 04.1″,4.28,Antlia
Epsilon Antliae,09h 29m 14.74s,-35° 57′ 04.9″,4.51,Antlia
Iota Antliae,10h 56m 43.00s,-37° 08′ 14.9″,4.6,Antlia
Theta Antliae,09h 44m 12.13s,-27° 46′ 10.4″,4.78,Antlia
Eta Antliae,09h 58m 52.34s,-35° 53′ 27.4″,5.23,Antlia
HD 90132,10h 23m 29.41s,-38° 00′ 35.0″,5.34,Antlia
HD 96146,11h 04m 54.21s,-35° 48′ 16.9″,5.43,Antlia
HD 82205,09h 29m 54.52s,-26° 35′ 22.6″,5.49,Antlia
U Antliae,10h 35m 12.88s,-39° 33′ 45.3″,5.5,Antlia
HR 4049,10h 18m 07.60s,-28° 59′ 31.3″,5.52,Antlia
Delta Antliae,10h 29m 35.40s,-30° 36′ 25.5″,5.56,Antlia
HD 93905,10h 49m 57.05s,-34° 03′ 29.5″,5.61,Antlia
HR 3833,09h 37m 09.87s,-32° 10′ 43.0″,5.62,Antlia
HD 92845,10h 42m 43.21s,-32° 42′ 56.4″,5.63,Antlia
HR 3830,09h 37m 00.25s,-25° 17′ 48.7″,5.68,Antlia
Zeta1 Antliae,09h 30m 46.08s,-31° 53′ 21.0″,5.75,Antlia
HD 86267,09h 56m 35.47s,-33° 25′ 06.8″,5.83,Antlia
HD 82514,09h 31m 32.93s,-35° 42′ 51.6″,5.86,Antlia
Zeta2 Antliae,09h 31m 32.19s,-31° 52′ 18.6″,5.91,Antlia
HD 88809,10h 13m 45.98s,-40° 20′ 45.9″,5.91,Antlia
HD 85206,09h 49m 28.15s,-37° 11′ 12.4″,5.95,Antlia
HD 83441,09h 37m 28.42s,-36° 05′ 45.6″,5.96,Antlia
HD 88218,10h 09m 32.09s,-35° 51′ 24.5″,6.14,Antlia
HD 82165,09h 29m 16.25s,-38° 24′ 12.8″,6.15,Antlia
HD 89015,10h 15m 20.89s,-36° 31′ 03.8″,6.17,Antlia
Zeta1 Antliae,09h 30m 46.10s,-31° 53′ 22.0″,6.18,Antlia
HD 90071,10h 23m 13.14s,-30° 09′ 44.0″,6.25,Antlia
HD 87606,10h 05m 15.28s,-36° 23′ 03.7″,6.27,Antlia
HD 85725,09h 52m 58.21s,-27° 19′ 56.7″,6.28,Antlia
HD 88522,10h 12m 02.88s,-28° 36′ 21.4″,6.28,Antlia
HD 89442,10h 18m 37.88s,-36° 48′ 16.5″,6.31,Antlia
BF Antliae,09h 56m 54.14s,-27° 28′ 30.8″,6.32,Antlia
HD 88836,10h 13m 56.58s,-40° 18′ 38.7″,6.33,Antlia
HD 88013,10h 08m 01.67s,-37° 20′ 00.5″,6.34,Antlia
HD 85296,09h 49m 51.36s,-36° 16′ 06.5″,6.36,Antlia
HD 92589,10h 40m 51.56s,-35° 44′ 30.2″,6.36,Antlia
HD 88742,10h 13m 24.99s,-33° 01′ 54.8″,6.38,Antlia
HD 84224,09h 42m 41.37s,-35° 30′ 06.2″,6.39,Antlia
HD 87477,10h 04m 23.39s,-39° 58′ 33.1″,6.42,Antlia
S Antliae,09h 32m 18.45s,-28° 37′ 40.4″,6.43,Antlia
HD 82785,09h 33m 07.71s,-39° 07′ 45.0″,6.43,Antlia
HD 84567,09h 45m 22.01s,-30° 12′ 09.9″,6.45,Antlia
HD 83108,09h 35m 11.88s,-35° 49′ 25.5″,6.48,Antlia
HD 93083,10h 44m 20.91s,-33° 34′ 37.2″,8.33,Antlia
T Antliae,09h 33m 50.86s,-36° 36′ 56.7″,9.26,Antlia
Delta Antliae,10h 29m 34.77s,-30° 36′ 33.1″,9.65,Antlia
TWA 6,10h 18m 28.70s,-31° 50′ 02.9″,10.65,Antlia
WASP-66,10h 32m 54.0s,-34° 59′ 23″,11.6,Antlia
TWA 7,10h 42m 30.06s,-33° 40′ 16.6″,11.73,Antlia
UX Antliae,10h 57m 09.0s,-37° 23′ 56″,12.37,Antlia
DEN 1048-3956,10h 48m 15s,-39° 56′ 06″,17.53,Antlia
XTE J0929-314,09h 29m 20.19s,-31° 29′ 03.2″,18.63,Antlia
Alpha Apodis,14h 47m 51.73s,-79° 02′ 41.0″,3.83,Apus
Gamma Apodis,16h 33m 27.46s,-78° 53′ 49.1″,3.86,Apus
Beta Apodis,16h 43m 05.42s,-77° 30′ 59.7″,4.23,Apus
Delta1 Apodis,16h 20m 20.84s,-78° 41′ 44.4″,4.68,Apus
Zeta Apodis,17h 21m 59.53s,-67° 46′ 14.3″,4.76,Apus
Eta Apodis,14h 18m 13.97s,-81° 00′ 27.4″,4.89,Apus
Epsilon Apodis,14h 22m 23.20s,-80° 06′ 32.1″,5.06,Apus
Delta2 Apodis,16h 20m 26.86s,-78° 40′ 02.7″,5.27,Apus
R Apodis,14h 57m 53.16s,-76° 39′ 45.4″,5.37,Apus
Iota Apodis,17h 22m 05.88s,-70° 07′ 23.4″,5.39,Apus
Kappa¹ Apodis,15h 31m 30.82s,-73° 23′ 22.4″,5.52,Apus
HR 6135,16h 34m 19.37s,-70° 59′ 17.0″,5.5,Apus
HD 130458,14h 53m 13.54s,-73° 11′ 24.6″,5.59,Apus
Kappa² Apodis,15h 40m 21.36s,-73° 26′ 47.9″,5.64,Apus
Theta Apodis,14h 05m 20.10s,-76° 47′ 48.0″,5.69,Apus
HR 5955,16h 05m 55.88s,-72° 24′ 03.9″,5.7,Apus
NO Apodis,17h 31m 27.47s,-80° 51′ 32.5″,5.83,Apus
HD 164712,18h 11m 15.76s,-75° 53′ 26.9″,5.86,Apus
HD 165259,18h 12m 34.17s,-73° 40′ 18.4″,5.86,Apus
HD 131425,15h 00m 11.34s,-77° 09′ 37.9″,5.92,Apus
HD 138867,15h 41m 54.70s,-76° 04′ 54.7″,5.95,Apus
HD 122862,14h 08m 27.71s,-74° 51′ 02.6″,6.02,Apus
HD 133981,15h 12m 34.01s,-72° 46′ 14.0″,6.02,Apus
HD 126209,14h 29m 37.07s,-76° 43′ 44.5″,6.06,Apus
HD 161988,17h 57m 41.68s,-76° 10′ 40.6″,6.08,Apus
HD 121439,14h 00m 32.85s,-78° 35′ 23.9″,6.09,Apus
HD 138289,15h 39m 18.62s,-77° 55′ 03.7″,6.19,Apus
HD 131551,14h 59m 55.77s,-75° 01′ 57.4″,6.2,Apus
HD 154556,17h 12m 19.85s,-70° 43′ 15.2″,6.21,Apus
HD 154972,17h 16m 35.70s,-74° 31′ 58.4″,6.24,Apus
HD 128294,14h 41m 59.76s,-77° 00′ 41.1″,6.34,Apus
HD 162337,18h 05m 26.74s,-81° 29′ 11.2″,6.37,Apus
HD 137366,15h 30m 49.19s,-71° 39′ 14.7″,6.39,Apus
HD 141846,15h 59m 55.14s,-78° 01′ 37.6″,6.4,Apus
HD 124639,14h 24m 22.18s,-82° 50′ 53.6″,6.42,Apus
HD 129899,14h 51m 30.07s,-77° 10′ 33.4″,6.44,Apus
HD 152010,16h 57m 01.06s,-71° 06′ 41.6″,6.46,Apus
HD 124099,14h 16m 55.17s,-77° 39′ 51.2″,6.48,Apus
HD 159558,17h 40m 44.57s,-67° 51′ 14.8″,6.48,Apus
HD 134606,15h 15m 15s,-70° 31′ 11″,6.85,Apus
HD 137509,15h 31m 27.12s,-71° 03′ 43.7″,6.87,Apus
HD 131664,15h 00m 06.07s,-73° 32′ 07.2″,8.13,Apus
HD 137388,15h 35m 40s,-80° 12′ 17″,8.71,Apus
S Apodis,15h 09m 24.53s,-72° 03′ 45.2″,9.6,Apus
HD 138403,15h 37m 11.18s,-71° 54′ 52.9″,10.47,Apus
Z Apodis,14h 06m 54.81s,-71° 22′ 16.8″,11.07,Apus
Beta Aquarii,21h 31m 33.52s,-05° 34′ 16.2″,2.9,Aquarius
Alpha Aquarii,22h 05m 47.03s,-00° 19′ 11.4″,2.95,Aquarius
Delta Aquarii,22h 54m 39.04s,-15° 49′ 14.7″,3.27,Aquarius
Zeta Aquarii,22h 28m 49.80s,-00° 01′ 12.2″,3.65,Aquarius
88 Aquarii,23h 09m 26.76s,-21° 10′ 20.9″,3.68,Aquarius
Lambda Aquarii,22h 52m 36.86s,-07° 34′ 46.8″,3.73,Aquarius
Epsilon Aquarii,20h 47m 40.53s,-09° 29′ 44.5″,3.78,Aquarius
Gamma Aquarii,22h 21m 39.30s,-01° 23′ 14.5″,3.86,Aquarius
98 Aquarii,23h 22m 58.30s,-20° 06′ 01.2″,3.96,Aquarius
Eta Aquarii,22h 35m 21.33s,-00° 07′ 02.5″,4.04,Aquarius
Tau2 Aquarii,22h 49m 35.51s,-13° 35′ 33.1″,4.05,Aquarius
Theta Aquarii,22h 16m 49.97s,-07° 46′ 59.7″,4.17,Aquarius
Phi Aquarii,23h 14m 19.33s,-06° 02′ 54.7″,4.22,Aquarius
Psi1 Aquarii,23h 15m 53.28s,-09° 05′ 15.7″,4.24,Aquarius
Iota Aquarii,22h 06m 26.21s,-13° 52′ 10.3″,4.29,Aquarius
99 Aquarii,23h 26m 02.82s,-20° 38′ 30.7″,4.38,Aquarius
Psi2 Aquarii,23h 17m 54.20s,-09° 10′ 57.0″,4.41,Aquarius
Zeta Aquarii,22h 28m 50.10s,-00° 01′ 12.0″,4.42,Aquarius
3 Aquarii,20h 47m 44.24s,-05° 01′ 39.4″,4.43,Aquarius
86 Aquarii,23h 06m 40.81s,-23° 44′ 35.2″,4.48,Aquarius
Omega2 Aquarii,23h 42m 43.28s,-14° 32′ 41.1″,4.49,Aquarius
Nu Aquarii,21h 09m 35.59s,-11° 22′ 18.0″,4.5,Aquarius
Xi Aquarii,21h 37m 45.04s,-07° 51′ 14.9″,4.68,Aquarius
66 Aquarii,22h 43m 35.25s,-18° 49′ 49.1″,4.68,Aquarius
101 Aquarii,23h 33m 16.63s,-20° 54′ 52.3″,4.7,Aquarius
89 Aquarii,23h 09m 54.88s,-22° 27′ 27.3″,4.71,Aquarius
Mu Aquarii,20h 52m 39.21s,-08° 58′ 59.7″,4.73,Aquarius
Omicron Aquarii,22h 03m 18.83s,-02° 09′ 19.2″,4.74,Aquarius
Pi Aquarii,22h 25m 16.61s,+01° 22′ 38.6″,4.8,Aquarius
Sigma Aquarii,22h 30m 38.82s,-10° 40′ 40.4″,4.82,Aquarius
104 Aquarii,23h 41m 45.80s,-17° 48′ 59.5″,4.82,Aquarius
Chi Aquarii,23h 16m 50.95s,-07° 43′ 35.3″,4.93,Aquarius
Omega1 Aquarii,23h 39m 47.04s,-14° 13′ 19.4″,4.97,Aquarius
Psi³ Aquarii,23h 18m 57.65s,-09° 36′ 38.6″,4.99,Aquarius
Kappa Aquarii,22h 37m 45.42s,-04° 13′ 39.9″,5.04,Aquarius
25 Aquarii,21h 39m 33.28s,+02° 14′ 37.5″,5.1,Aquarius
47 Aquarii,22h 21m 35.58s,-21° 35′ 52.9″,5.12,Aquarius
1 Aquarii,20h 39m 24.83s,+00° 29′ 11.4″,5.15,Aquarius
108 Aquarii,23h 51m 21.32s,-18° 54′ 33.0″,5.17,Aquarius
94 Aquarii,23h 19m 06.37s,-13° 27′ 17.0″,5.19,Aquarius
97 Aquarii,23h 22m 39.10s,-15° 02′ 21.8″,5.19,Aquarius
94 Aquarii,23h 19m 06.51s,-13° 27′ 30.4″,5.2,Aquarius
Upsilon Aquarii,22h 34m 41.50s,-20° 42′ 28.3″,5.21,Aquarius
68 Aquarii,22h 47m 33.19s,-19° 36′ 46.3″,5.24,Aquarius
106 Aquarii,23h 44m 12.06s,-18° 16′ 36.9″,5.24,Aquarius
107 Aquarii,23h 46m 00.84s,-18° 40′ 42.1″,5.28,Aquarius
32 Aquarii,22h 04m 47.43s,-00° 54′ 22.5″,5.29,Aquarius
41 Aquarii,22h 14m 18.02s,-21° 04′ 28.9″,5.33,Aquarius
42 Aquarii,22h 16m 48.04s,-12° 49′ 53.2″,5.34,Aquarius
Rho Aquarii,22h 20m 11.91s,-07° 49′ 16.0″,5.35,Aquarius
103 Aquarii,23h 41m 34.51s,-18° 01′ 36.8″,5.36,Aquarius
38 Aquarii,22h 10m 37.46s,-11° 33′ 53.9″,5.43,Aquarius
83 Aquarii,23h 05m 09.71s,-07° 41′ 37.7″,5.44,Aquarius
18 Aquarii,21h 24m 11.44s,-12° 52′ 41.3″,5.48,Aquarius
21 Aquarii,21h 25m 16.96s,-03° 33′ 23.7″,5.48,Aquarius
7 Aquarii,20h 56m 54.03s,-09° 41′ 51.1″,5.49,Aquarius
12 Aquarii,21h 04m 04.58s,-05° 49′ 24.2″,7.31,Aquarius
49 Aquarii,22h 23m 30.79s,-24° 45′ 45.6″,5.53,Aquarius
77 Aquarii,22h 54m 45.60s,-16° 16′ 18.3″,5.53,Aquarius
5 Aquarii,20h 52m 08.69s,-05° 30′ 25.4″,5.55,Aquarius
30 Aquarii,22h 03m 16.43s,-06° 31′ 20.7″,5.55,Aquarius
53 Aquarii,22h 26m 34.15s,-16° 44′ 31.7″,5.55,Aquarius
96 Aquarii,23h 19m 23.86s,-05° 07′ 27.5″,5.56,Aquarius
28 Aquarii,22h 01m 05.01s,+00° 36′ 17.1″,5.6,Aquarius
26 Aquarii,21h 42m 10.12s,+01° 17′ 07.0″,5.66,Aquarius
HD 222093,23h 37m 39.54s,-13° 03′ 37.1″,5.66,Aquarius
Tau1 Aquarii,22h 47m 42.75s,-14° 03′ 23.1″,5.68,Aquarius
19 Aquarii,21h 25m 13.02s,-09° 44′ 53.3″,5.71,Aquarius
HD 216718,22h 55m 10.94s,-04° 59′ 16.4″,5.72,Aquarius
44 Aquarii,22h 17m 06.50s,-05° 23′ 14.0″,5.75,Aquarius
50 Aquarii,22h 24m 27.03s,-13° 31′ 45.9″,5.76,Aquarius
HD 223807,23h 52m 50.49s,-08° 59′ 48.1″,5.76,Aquarius
51 Aquarii,22h 24m 06.87s,-04° 50′ 13.2″,5.79,Aquarius
35 Aquarii,22h 08m 58.99s,-18° 31′ 10.5″,5.8,Aquarius
HD 211392,22h 16m 52.60s,-09° 02′ 24.1″,5.8,Aquarius
74 Aquarii,22h 53m 28.69s,-11° 36′ 59.5″,5.8,Aquarius
15 Aquarii,21h 18m 11.07s,-04° 31′ 10.2″,5.83,Aquarius
16 Aquarii,21h 21m 04.33s,-04° 33′ 36.5″,5.87,Aquarius
60 Aquarii,22h 34m 02.89s,-01° 34′ 27.0″,5.88,Aquarius
12 Aquarii,21h 04m 04.74s,-05° 49′ 23.08″,5.89,Aquarius
DV Aquarii,20h 58m 41.87s,-14° 28′ 59.1″,5.95,Aquarius
45 Aquarii,22h 19m 00.70s,-13° 18′ 17.9″,5.96,Aquarius
HD 210434,22h 10m 33.70s,-04° 16′ 00.7″,5.98,Aquarius
4 Aquarii,20h 51m 25.69s,-05° 37′ 35.9″,5.99,Aquarius
17 Aquarii,21h 22m 56.27s,-09° 19′ 09.4″,5.99,Aquarius
39 Aquarii,22h 12m 25.74s,-14° 11′ 37.8″,6.04,Aquarius
HD 199442,20h 57m 10.57s,+00° 27′ 50.2″,6.06,Aquarius
HD 223311,23h 48m 32.48s,-06° 22′ 49.4″,6.09,Aquarius
HD 219279,23h 14m 40.18s,-10° 41′ 19.1″,6.13,Aquarius
HD 213429,22h 31m 18.22s,-06° 33′ 17.6″,6.15,Aquarius
HD 218061,23h 05m 12.88s,-17° 04′ 44.9″,6.15,Aquarius
HD 220035,23h 20m 40.95s,-05° 54′ 28.2″,6.17,Aquarius
82 Aquarii,23h 02m 32.56s,-06° 34′ 26.1″,6.18,Aquarius
70 Aquarii,22h 48m 30.19s,-10° 33′ 19.8″,6.19,Aquarius
78 Aquarii,22h 54m 34.13s,-07° 12′ 16.3″,6.2,Aquarius
11 Aquarii,21h 00m 33.81s,-04° 43′ 47.7″,6.21,Aquarius
HD 205765,21h 37m 33.77s,-00° 23′ 25.8″,6.22,Aquarius
HD 214448,22h 38m 22.10s,-07° 53′ 51.2″,6.23,Aquarius
81 Aquarii,23h 01m 23.65s,-07° 03′ 40.1″,6.23,Aquarius
HD 198272,20h 49m 17.25s,-00° 33′ 47.8″,6.24,Aquarius
HD 200375,21h 03m 03.09s,+01° 31′ 55.9″,6.24,Aquarius
HD 208177,21h 54m 35.90s,-03° 18′ 04.3″,6.24,Aquarius
100 Aquarii,23h 31m 42.04s,-21° 22′ 10.0″,6.24,Aquarius
HD 221148,23h 29m 31.98s,-04° 31′ 55.9″,6.26,Aquarius
LP Aquarii,22h 42m 05.99s,-05° 06′ 06.6″,6.28,Aquarius
HD 214810,22h 40m 47.96s,-03° 33′ 14.9″,6.32,Aquarius
HD 219659,23h 17m 40.06s,-11° 42′ 46.6″,6.33,Aquarius
53 Aquarii,22h 26m 34.40s,-16° 44′ 33.0″,6.35,Aquarius
56 Aquarii,22h 30m 17.33s,-14° 35′ 08.3″,6.36,Aquarius
R Aquarii,23h 43m 49.50s,-15° 17′ 04.0″,6.36,Aquarius
HD 202259,21h 14m 37.03s,+00° 05′ 32.2″,6.38,Aquarius
20 Aquarii,21h 24m 51.68s,-03° 23′ 53.6″,6.38,Aquarius
29 Aquarii,22h 02m 26.25s,-16° 57′ 53.4″,6.39,Aquarius
HD 211575,22h 18m 04.30s,-00° 14′ 15.1″,6.39,Aquarius
58 Aquarii,22h 31m 41.28s,-10° 54′ 19.7″,6.39,Aquarius
61 Aquarii,22h 35m 48.82s,-17° 27′ 37.1″,6.39,Aquarius
67 Aquarii,22h 43m 14.25s,-06° 57′ 46.5″,6.4,Aquarius
IZ Aquarii,21h 34m 42.76s,+01° 49′ 45.1″,6.41,Aquarius
14 Aquarii,21h 16m 17.78s,-09° 12′ 52.8″,6.45,Aquarius
HD 215114,22h 43m 03.40s,-08° 18′ 41.2″,6.45,Aquarius
EW Aquarii,21h 11m 41.31s,-14° 28′ 20.6″,6.47,Aquarius
HD 210277,22h 09m 29.87s,-07° 32′ 55.2″,6.63,Aquarius
37 Aquarii,22h 10m 31.74s,-10° 49′ 13.7″,6.64,Aquarius
24 Aquarii,21h 39m 31.39s,-00° 03′ 04.1″,6.66,Aquarius
